Planilha Ofícios Enviados;;;;;;;
;;;;;;;
Nº do Ofício;Destinatário;Solicitação;Status;Previsão;;;
71;Sec. Trânsito;"Placas de ""PROIBIDO ÔNIBUS E CAMINHÕES,Faixas de controle de estacionamento, Faixas de estacionamento Rua Professor José Rodrigues de Oliveira e na Rua Joviano Troncha";;;;;
72;Sec. Trânsito;instalação de quebra molas na Praça Carlos José de Moura Bairro Sibipiruna;;;;;
56;Escola Legislativo;indicação do assessor a Reunião para planejamento do evento “ Mulheres: fortalecendo Histórias e Lutas”.;ok;;;;
57;Sec. Infraestrutura;tapa buraco por toda sua extensão na Rua Coronel Póvoa, Bairro Santa Helena;Atendido;;;;
58;Sec. Infraestrutura;tapa buraco por toda sua extensão na Rua das Nogueiras, Bairro São Sebastião;Atendido;;;;
59;Sec. Saúde;visita técnica à residência localizada na Rua das Nogueiras nº344, Bairro São Sebastião.;Atendido;;;;
60;Sec. Serviços Urbanos;Podas de árvores Bairros:Centro, Paraíso, Industrial, Sibipiruna;Sibipiruna autorizado;;;;
61;Deputado Estadual Doorgal;Recapeamento LMG-748;;;;;
62;Sec. Serviços Urbanos;Limpeza de terreno Rua Moisés Antônio Naves, Bairro Vieno;;;;;
63;Sec. Serviços Urbanos;Rua Professor João Batista da Costa, nº 54, Bairro Maria Eugênia;;;;;
64;Sec. Infraestrutura;tapa buraco Rua Dr. Alberto Moreira, nº 640, Bairro Centro;Atendido;;;;
65;Sec. Serviços Urbanos;Limpeza terreno Rua Professor João Batista da Costa, nº 54, Bairro Maria Eugênia programado p limpar;;;;;
66;Sec. Infraestrutura;Tapa buraco calçada da Escola Padre Damião na Av. Hugo Alessi, nº 1115, Bairro Industrial;Atendido;;;;
67;Sec. Meio Ambiente;Praça Carlos José de Moura na Rua Joviano Troncha , nº 561, Bairro Sibipiruna;Autorizado;;;;
68;Sec. Serviços Urbanos;Limpeza Praça Carlos José de Moura, Bairro Sibipiruna;Atendido;;;;
69;Sec. Serviços Urbanos;Limpeza Rua Alameda Antonino Vieira, 191 e 211, Bairro Sibipiruna;;;;;
70;Sec. Serviços Urbanos;Limpeza Avenida Teodoreto Veloso de Carvalho com a Rua Professora Heloisa Cury, Bairro Paineiras;;;;;
71;Sec. Trânsito;"Placas de ""PROIBIDO ÔNIBUS E CAMINHÕES,Faixas de controle de estacionamento, Faixas de estacionamento Rua Professor José Rodrigues de Oliveira e na Rua Joviano Troncha";;;;;
